file,...1,Area,Mean,Min,Max,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,susp,num
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,85,511.501,141.126,105,158,219.081,41.382,1027,1766,68.806,36.243,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,86,597.061,128.679,76,158,156.643,46.216,1176,1772,66.93,23.945,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,87,1093.062,136.04,90,158,261.903,59.702,1445,1798,48.743,46.277,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,88,713.621,128.989,82,158,185.753,49.45,1662,1830,80.838,26.783,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,89,1915.184,132.105,73,158,452.717,107.37,616,1877,39.644,44.986,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,90,2495.505,127.852,52,158,608.707,103.249,1844,1871,28.715,63.036,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,91,474.921,131.53,82,158,152.953,47.251,1576,1861,66.425,20.93,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,92,2685.225,127.058,71,158,566.55,94.61,1681,1920,67.49,68.317,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,93,1257.983,133.465,77,158,449.917,77.23,1421,1832,106.587,41.448,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,94,938.682,123.655,53,158,221.466,58.797,1791,1885,159.624,31.387,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,95,361.461,134.422,91,158,93.045,27.151,1369,1899,106.858,22.974,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,96,469.341,142.268,100,158,191.545,42.381,1208,1908,125.166,23.757,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,97,2482.485,127.341,61,158,521.612,100.615,1345,1951,107.301,61.53,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,98,12941.286,96.392,0,158,1353.868,195.728,1468,2024,147.653,148.445,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,99,370.761,143.05,117,158,132.829,36.536,273,2056,37.117,20.278,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,100,1820.944,127.454,70,158,381.37,100.012,1150,2040,158.282,39.955,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,101,440.821,139.896,88,158,154.607,41.081,1764,2121,77.829,20.11,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,102,384.401,143.813,112,158,168.351,36.297,1665,2087,167.471,24.596,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,103,1530.163,123.494,57,158,334.443,63.716,1343,2115,129.987,50.394,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,104,3041.106,130.365,68,158,680.831,122.958,2148,2111,124.301,74.315,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,105,2074.524,124.218,73,158,403.147,103.895,1291,2118,115.594,44.04,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,106,1050.282,128.502,77,158,312.6,65.169,1105,2240,64.983,41.819,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,107,438.961,136.778,83,158,141.435,45.913,1041,2175,95.906,18.11,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,108,365.801,129.792,84,158,98.118,29.556,1564,2189,138.24,19.487,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-09-1-results.csv,109,391.221,133.25,98,158,110.558,32.129,97,2182,107.103,21.204,100Si,09
data-raw/TEM Images 2021-12-01/image-j/100Si-10-1-results.csv,1,777.131,134.468,84,160,176.847,51.136,274,125,59.237,25.386,100Si,10
